,model,prior,duplicates_level,distortion_level,num_iter,precision,recall,f1score
0,Both,Pitman,Low,Low,10000,0.980198,0.9519231,0.9658537
1,Both,Pitman,Medium,High,10000,0.9815287,0.712766,0.8258307
2,Both,Pitman,Medium,Low,10000,0.9942001,0.9562994,0.9748815
3,Both,Pitman,High,Low,10000,1.0,0.9477668,0.9731831
4,Both,Pitman,Very High,Low,10000,1.0,0.9524953,0.9756698
5,Both,Pitman,High,High,10000,0.9977944,0.6833837,0.8111888
6,Both,Pitman,Low,High,10000,0.9671053,0.7033493,0.8144044
7,Both,Pitman,Very High,High,10000,0.9987954,0.6638644,0.7975952
8,Both,uniform,High,Low,10000,1.0,0.948221,0.9734224
9,Both,uniform,Low,Low,10000,0.2765363,0.9519231,0.4285714
10,Both,uniform,Medium,Low,10000,0.992304,0.9590888,0.9754137
11,Both,uniform,Low,High,10000,0.2629921,0.7990431,0.3957346
12,Both,uniform,Medium,High,10000,0.9689214,0.7354302,0.836182
13,Both,uniform,High,High,10000,0.9985745,0.6348943,0.776249
14,Both,uniform,Very High,Low,10000,1.0,0.9515612,0.9751795
15,Both,uniform,Very High,High,10000,0.9986851,0.6080865,0.7559094
16,Both,Bounded NBD,Low,High,10000,0.9864865,0.6985646,0.8179272
17,Both,Bounded NBD,Very High,Low,10000,0.9991606,0.9530291,0.9755498
18,Both,Bounded NBD,Medium,High,10000,0.9819704,0.7053654,0.820996
19,Both,Bounded NBD,High,Low,10000,1.0,0.948221,0.9734224
20,Both,Bounded NBD,Low,Low,10000,0.9850746,0.9519231,0.9682152
21,Both,Bounded NBD,High,High,10000,0.9980757,0.705136,0.8264141
22,Both,Bounded NBD,Very High,High,10000,0.9988578,0.7001601,0.8232525
23,Both,Bounded NBD,Medium,Low,10000,0.9941691,0.9511855,0.9722024
24,No Diri,Pitman,Very High,High,10000,0.9913136,0.8680278,0.9255834
25,No Diri,Pitman,Very High,Low,10000,1.0,0.9516947,0.9752496
26,No Diri,Pitman,High,Low,10000,1.0,0.9468584,0.9727039
27,No Diri,Pitman,Low,Low,10000,0.9802956,0.9567308,0.9683698
28,No Diri,Pitman,Medium,Low,10000,0.9956522,0.958159,0.9765458
29,No Diri,Pitman,Low,High,10000,0.6033898,0.8516746,0.7063492
30,No Diri,Pitman,Medium,High,10000,0.9350325,0.8654024,0.898871
31,No Diri,Pitman,High,High,10000,0.9936795,0.8787009,0.9326599
32,No Diri,uniform,Low,High,10000,0.3083779,0.8277512,0.4493506
33,No Diri,uniform,High,High,10000,0.996863,0.8640483,0.9257161
34,No Diri,uniform,High,Low,10000,1.0,0.9483724,0.9735022
35,No Diri,uniform,Medium,High,10000,0.9187743,0.873728,0.8956852
36,No Diri,uniform,Low,Low,10000,0.3430034,0.9663462,0.5062972
37,No Diri,uniform,Very High,High,10000,0.9981156,0.8481452,0.9170394
38,No Diri,uniform,Medium,Low,10000,0.9913628,0.9604835,0.9756789
39,No Diri,uniform,Very High,Low,10000,1.0,0.9519616,0.9753897
40,No Diri,Bounded NBD,Very High,High,10000,0.9969447,0.87083,0.9296296
41,No Diri,Bounded NBD,Low,High,10000,0.2630792,0.8421053,0.4009112
42,No Diri,Bounded NBD,Medium,High,10000,0.9197652,0.8695652,0.893961
43,No Diri,Bounded NBD,Very High,Low,10000,1.0,0.9516947,0.9752496
44,No Diri,Bounded NBD,High,Low,10000,0.9998404,0.948221,0.9733468
45,No Diri,Bounded NBD,Low,Low,10000,0.9661836,0.9615385,0.9638554
46,No Diri,Bounded NBD,Medium,Low,10000,0.9951691,0.9576941,0.976072
47,No Diri,Bounded NBD,High,High,10000,0.9906764,0.8827795,0.9336209
48,None,Pitman,Medium,High,10000,0.9625138,0.8075856,0.8782696
49,None,Pitman,High,High,10000,0.9923913,0.8274924,0.9024712
50,None,Pitman,High,Low,10000,1.0,0.9483724,0.9735022
51,None,Pitman,Low,High,10000,0.9289941,0.7511962,0.8306878
52,None,Pitman,Low,Low,10000,0.9704433,0.9471154,0.9586375
53,None,Pitman,Very High,Low,10000,1.0,0.9519616,0.9753897
54,None,Pitman,Very High,High,10000,0.9932875,0.809581,0.8920747
55,None,Pitman,Medium,Low,10000,0.9966036,0.9549047,0.9753086
56,None,uniform,Low,High,10000,0.1683468,0.7990431,0.2781016
57,None,uniform,Low,Low,10000,0.1930165,0.9567308,0.3212268
58,None,uniform,Medium,Low,10000,0.9937198,0.9562994,0.9746506
59,None,uniform,Very High,Low,10000,1.0,0.9524953,0.9756698
60,None,uniform,Very High,High,10000,0.9988273,0.7955698,0.8856867
61,None,uniform,Medium,High,10000,0.9370667,0.8126735,0.8704484
62,None,uniform,High,Low,10000,1.0,0.9479182,0.9732629
63,None,uniform,High,High,10000,0.9974288,0.8203927,0.9002901
64,None,Bounded NBD,High,Low,10000,1.0,0.9491294,0.9739009
65,None,Bounded NBD,Medium,High,10000,0.9568306,0.8098982,0.8772545
66,None,Bounded NBD,Very High,High,10000,0.9970497,0.811716,0.8948878
67,None,Bounded NBD,Medium,Low,10000,0.9970902,0.9558345,0.9760266
68,None,Bounded NBD,High,High,10000,0.9945907,0.8332326,0.9067894
69,None,Bounded NBD,Very High,Low,10000,1.0,0.9530291,0.9759497
70,None,Bounded NBD,Low,High,10000,0.9120879,0.7942584,0.8491049
71,None,Bounded NBD,Low,Low,10000,0.9704433,0.9471154,0.9586375
72,No Empirical,Pitman,Medium,Low,10000,0.9961146,0.95351,0.9743468
73,No Empirical,Pitman,Very High,High,10000,0.9961155,0.7870296,0.8793142
74,No Empirical,Pitman,Low,Low,10000,0.9704433,0.9471154,0.9586375
75,No Empirical,Pitman,High,Low,10000,1.0,0.9491294,0.9739009
76,No Empirical,Pitman,High,High,10000,0.996394,0.7930514,0.8831693
77,No Empirical,Pitman,Very High,Low,10000,1.0,0.9526288,0.9757398
78,No Empirical,Pitman,Low,High,10000,0.9426752,0.708134,0.8087432
79,No Empirical,Pitman,Medium,High,10000,0.9770614,0.7289547,0.8349669
80,No Empirical,uniform,Very High,High,10000,0.9998257,0.7655458,0.8671403
81,No Empirical,uniform,Low,Low,10000,0.28125,0.9519231,0.4342105
82,No Empirical,uniform,High,High,10000,0.9984595,0.7832326,0.8778464
83,No Empirical,uniform,Medium,High,10000,0.9614225,0.7377428,0.83486
84,No Empirical,uniform,Medium,Low,10000,0.9946757,0.9553696,0.9746265
85,No Empirical,uniform,Very High,Low,10000,1.0,0.9523619,0.9755998
86,No Empirical,uniform,Low,High,10000,0.2383721,0.784689,0.3656633
87,No Empirical,uniform,High,Low,10000,1.0,0.9486752,0.9736617
88,No Empirical,Bounded NBD,Very High,Low,10000,1.0,0.9522284,0.9755297
89,No Empirical,Bounded NBD,Low,Low,10000,0.9704433,0.9471154,0.9586375
90,No Empirical,Bounded NBD,High,Low,10000,1.0,0.9483724,0.9735022
91,No Empirical,Bounded NBD,Medium,Low,10000,0.9985409,0.9544398,0.9759924
92,No Empirical,Bounded NBD,High,High,10000,0.9958909,0.8054381,0.8905963
93,No Empirical,Bounded NBD,Medium,High,10000,0.976947,0.7252544,0.8324927
94,No Empirical,Bounded NBD,Very High,High,10000,0.997169,0.7990392,0.8871768
95,No Empirical,Bounded NBD,Low,High,10000,0.9333333,0.7368421,0.8235294
96,Both,Pitman,Medium,Low,50000,0.9941776,0.9525802,0.9729345
97,Both,Pitman,Very High,High,50000,0.9988002,0.6665332,0.7995198
98,Both,Pitman,Low,High,50000,0.9863946,0.6937799,0.8146067
99,Both,Pitman,High,High,50000,0.9986696,0.6803625,0.8093441
100,Both,Pitman,Very High,Low,50000,1.0,0.955431,0.9772076
101,Both,Pitman,Low,Low,50000,0.9754902,0.9567308,0.9660194
102,Both,Pitman,Medium,High,50000,0.9815169,0.7123034,0.8255159
103,Both,Pitman,High,Low,50000,1.0,0.9533687,0.9761277
104,Both,uniform,Very High,Low,50000,1.0,0.9530291,0.9759497
105,Both,uniform,High,Low,50000,1.0,0.9488266,0.9737415
106,Both,uniform,Very High,High,50000,0.9993474,0.6130238,0.7599041
107,Both,uniform,Low,Low,50000,0.2788732,0.9519231,0.4313725
108,Both,uniform,Low,High,50000,0.2781457,0.8038278,0.4132841
109,Both,uniform,Medium,High,50000,0.9760883,0.7363552,0.8394411
110,Both,uniform,Medium,Low,50000,0.9932138,0.9525802,0.9724727
111,Both,uniform,High,High,50000,0.9985762,0.6356495,0.7768137
112,Both,Bounded NBD,High,Low,50000,1.0,0.9529145,0.9758896
113,Both,Bounded NBD,Medium,High,50000,0.9799742,0.7016651,0.8177898
114,Both,Bounded NBD,Low,High,50000,0.9864865,0.6985646,0.8179272
115,Both,Bounded NBD,Very High,Low,50000,0.9995812,0.955431,0.9770076
116,Both,Bounded NBD,Very High,High,50000,0.999048,0.7001601,0.8233171
117,Both,Bounded NBD,High,High,50000,0.9974549,0.710423,0.8298191
118,Both,Bounded NBD,Medium,Low,50000,0.9951362,0.9511855,0.9726646
119,Both,Bounded NBD,Low,Low,50000,0.985,0.9471154,0.9656863
120,No Diri,Pitman,High,Low,50000,1.0,0.9507949,0.9747769
121,No Diri,Pitman,Very High,High,50000,0.9922879,0.8756338,0.9303183
122,No Diri,Pitman,High,High,50000,0.9935811,0.8885196,0.938118
123,No Diri,Pitman,Medium,High,50000,0.9312562,0.8709528,0.9000956
124,No Diri,Pitman,Low,High,50000,0.5221239,0.84689,0.6459854
125,No Diri,Pitman,Medium,Low,50000,0.99519,0.9618782,0.9782506
126,No Diri,Pitman,Very High,Low,50000,1.0,0.9544969,0.9767188
127,No Diri,Pitman,Low,Low,50000,0.9660194,0.9567308,0.9613527
128,No Diri,uniform,High,Low,50000,1.0,0.9491294,0.9739009
129,No Diri,uniform,Very High,Low,50000,1.0,0.9519616,0.9753897
130,No Diri,uniform,Very High,High,50000,0.9992183,0.8528156,0.9202304
131,No Diri,uniform,Medium,Low,50000,0.993771,0.9642027,0.9787636
132,No Diri,uniform,Low,High,50000,0.3211009,0.8373206,0.464191
133,No Diri,uniform,Low,Low,50000,0.3512111,0.9759615,0.5165394
134,No Diri,uniform,High,High,50000,0.9974035,0.8703927,0.9295797
135,No Diri,uniform,Medium,High,50000,0.9248047,0.8760407,0.8997625
136,No Diri,Bounded NBD,High,High,50000,0.9924497,0.8935045,0.9403816
137,No Diri,Bounded NBD,Low,High,50000,0.2543103,0.84689,0.3911602
138,No Diri,Bounded NBD,High,Low,50000,1.0,0.9506435,0.9746973
139,No Diri,Bounded NBD,Very High,High,50000,0.9945767,0.8809714,0.9343334
140,No Diri,Bounded NBD,Low,Low,50000,0.9708738,0.9615385,0.9661836
141,No Diri,Bounded NBD,Very High,Low,50000,1.0,0.9546304,0.9767886
142,No Diri,Bounded NBD,Medium,Low,50000,0.994709,0.9614133,0.9777778
143,No Diri,Bounded NBD,Medium,High,50000,0.932645,0.8774283,0.9041945
144,None,Pitman,High,High,50000,0.9948112,0.8398792,0.9108035
145,None,Pitman,Very High,Low,50000,0.9994407,0.9538297,0.9761027
146,None,Pitman,Medium,High,50000,0.9641304,0.8205365,0.8865567
147,None,Pitman,Very High,High,50000,0.995969,0.8242594,0.9020152
148,None,Pitman,Low,Low,50000,0.9704433,0.9471154,0.9586375
149,None,Pitman,Medium,Low,50000,0.9961297,0.9572292,0.9762921
150,None,Pitman,Low,High,50000,0.9360465,0.7703349,0.8451444
151,None,Pitman,High,Low,50000,1.0,0.9509463,0.9748564
152,None,uniform,Low,High,50000,0.1707317,0.8038278,0.2816429
153,None,uniform,High,High,50000,0.9978166,0.8283988,0.9052493
154,None,uniform,High,Low,50000,1.0,0.9485238,0.973582
155,None,uniform,Medium,High,50000,0.9477573,0.8307123,0.8853833
156,None,uniform,Very High,High,50000,0.999835,0.8087804,0.8942166
157,None,uniform,Low,Low,50000,0.1956735,0.9567308,0.324898
158,None,uniform,Very High,Low,50000,1.0,0.9524953,0.9756698
159,None,uniform,Medium,Low,50000,0.9942141,0.9586239,0.9760947
160,None,Bounded NBD,High,High,50000,0.9942969,0.8427492,0.9122721
161,None,Bounded NBD,Medium,Low,50000,0.9971,0.9590888,0.9777251
162,None,Bounded NBD,Very High,High,50000,0.996467,0.8279957,0.904453
163,None,Bounded NBD,High,Low,50000,0.9998409,0.9515519,0.9750989
164,None,Bounded NBD,Low,Low,50000,0.9753695,0.9519231,0.9635036
165,None,Bounded NBD,Very High,Low,50000,1.0,0.9542301,0.976579
166,None,Bounded NBD,Medium,High,50000,0.9601293,0.8242368,0.8870085
167,None,Bounded NBD,Low,High,50000,0.9213483,0.784689,0.8475452
168,No Empirical,Pitman,Medium,High,50000,0.9759556,0.7321924,0.8366808
169,No Empirical,Pitman,Medium,Low,50000,0.9961259,0.9562994,0.9758065
170,No Empirical,Pitman,Low,High,50000,0.9548387,0.708134,0.8131868
171,No Empirical,Pitman,Low,Low,50000,0.9704433,0.9471154,0.9586375
172,No Empirical,Pitman,High,High,50000,0.997031,0.8116314,0.8948289
173,No Empirical,Pitman,Very High,High,50000,0.9963552,0.8025087,0.8889874
174,No Empirical,Pitman,High,Low,50000,1.0,0.9507949,0.9747769
175,No Empirical,Pitman,Very High,Low,50000,1.0,0.9550307,0.9769982
176,No Empirical,uniform,Very High,High,50000,1.0,0.7724847,0.8716404
177,No Empirical,uniform,High,High,50000,0.9975191,0.789577,0.8814503
178,No Empirical,uniform,Very High,Low,50000,1.0,0.9527622,0.9758098
179,No Empirical,uniform,Medium,Low,50000,0.9956522,0.958159,0.9765458
180,No Empirical,uniform,Low,Low,50000,0.2820513,0.9519231,0.4351648
181,No Empirical,uniform,Low,High,50000,0.2422452,0.784689,0.3702032
182,No Empirical,uniform,High,Low,50000,1.0,0.9495836,0.9741399
183,No Empirical,uniform,Medium,High,50000,0.9584323,0.746531,0.8393136
184,No Empirical,Bounded NBD,Low,Low,50000,0.9753695,0.9519231,0.9635036
185,No Empirical,Bounded NBD,Very High,Low,50000,1.0,0.9538297,0.9763693
186,No Empirical,Bounded NBD,High,High,50000,0.9956443,0.8287009,0.9045342
187,No Empirical,Bounded NBD,Medium,High,50000,0.974423,0.7224792,0.8297477
188,No Empirical,Bounded NBD,Low,High,50000,0.95,0.7272727,0.8238482
189,No Empirical,Bounded NBD,High,Low,50000,1.0,0.9510977,0.974936
190,No Empirical,Bounded NBD,Medium,Low,50000,0.9961409,0.9600186,0.9777462
191,No Empirical,Bounded NBD,Very High,High,50000,0.9966091,0.8235922,0.9018777
